name,location,cuisine,top_dishes,price_for_2,dining_rating,dining_rating_count,delivery_rating,delivery_rating_count,features,price_category,cuisine_list,has_dine_in,has_delivery
Dhakshina kanni,Gst Road,"['North Indian', ' Chinese', ' Rolls']",Invalid,350,3.1,16,4.0,1475,"['Home Delivery', 'Indoor Seating']",Affordable,"['North Indian', ' Chinese', ' Rolls']",1,1
Welcome Restaurant,Ramapuram,"['North Indian', ' Mughlai', ' Chinese', ' Seafood']",Invalid,550,3.4,12,3.8,98,"['Home Delivery', 'Indoor Seating']",Affordable,"['North Indian', ' Mughlai', ' Chinese', ' Seafood']",1,1
Karupatti Chat Corner,Tambaram,"['Street Food', ' Beverages']",Invalid,100,0.0,0,0.0,0,"['Breakfast', 'Outdoor Seating', 'Indoor Seating']",Budget,"['Street Food', ' Beverages']",0,0
Madras Freshery,Valasaravakkam,['Beverages'],Invalid,300,0.0,0,0.0,0,['Delivery Only'],Budget,['Beverages'],0,0
Combo Biriyani House,Tambaram,"['Biryani', ' North Indian', ' Chinese']",Invalid,400,3.0,11,3.7,715,"['Home Delivery', 'Indoor Seating']",Affordable,"['Biryani', ' North Indian', ' Chinese']",1,1
Barottas,Anna Nagar West,"['South Indian', ' North Indian']",Invalid,250,0.0,0,3.3,61,['Home Delivery'],Budget,"['South Indian', ' North Indian']",0,1
New Basha Halwa,Triplicane,['Mithai'],Invalid,250,3.6,10,0.0,0,"['Takeaway Only', 'Vegetarian Only', 'Desserts and Bakes']",Budget,['Mithai'],1,0
Wangs Express,Ashok Nagar,"['Chinese', ' Beverages']",Invalid,600,0.0,0,3.5,49,['Home Delivery'],Affordable,"['Chinese', ' Beverages']",0,1
Cake Basket,Purasavakkam,['Bakery'],Invalid,250,2.7,9,0.0,0,"['Takeaway Only', 'Home Baker', 'Desserts and Bakes']",Budget,['Bakery'],1,0
Sri Pandiyan Hotel,Mandaveli,"['South Indian', ' North Indian']",Invalid,300,3.0,13,4.0,190,"['Home Delivery', 'Indoor Seating']",Budget,"['South Indian', ' North Indian']",1,1
Chennai Fast Food,Triplicane,['Chinese'],Invalid,200,3.5,10,3.9,37,"['Home Delivery', 'Indoor Seating']",Budget,['Chinese'],1,1
Foodies.In,Tiruvottiyur,['Fast Food'],Invalid,250,3.6,10,0.0,0,"['Home Delivery', 'Free Parking', 'Indoor Seating']",Budget,['Fast Food'],1,0
Hotel Bypass,Velachery,"['South Indian', ' Sandwich']",Invalid,150,0.0,0,3.9,13,['Delivery Only'],Budget,"['South Indian', ' Sandwich']",0,1
Annam,Arumbakkam,['South Indian'],Invalid,300,3.2,7,0.0,0,"['Home Delivery', 'Indoor Seating']",Budget,['South Indian'],1,0
Fukrey,Nungambakkam,"['South Indian', ' Chinese']",Invalid,1000,0.0,0,0.0,0,"['Breakfast', 'Indoor Seating']",Mid Range,"['South Indian', ' Chinese']",0,0
Mexican Burger and Sandwiches,Medavakkam,"['Sandwich', ' Burger', ' Rolls', ' Beverages']",Invalid,400,3.6,15,3.7,306,"['Home Delivery', 'Indoor Seating']",Affordable,"['Sandwich', ' Burger', ' Rolls', ' Beverages']",1,1
Meet Street,Thousand Lights,['Fast Food'],Invalid,300,0.0,0,3.9,11,['Delivery Only'],Budget,['Fast Food'],0,1
Adyar Military Hotel,Adyar,"['North Indian', ' South Indian', ' Fast Food']",Invalid,300,2.8,10,0.0,0,['Indoor Seating'],Budget,"['North Indian', ' South Indian', ' Fast Food']",1,0
Thangam Restaurant,Porur,"['Chinese', ' South Indian', ' North Indian']",Invalid,200,3.3,15,4.0,327,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']",Budget,"['Chinese', ' South Indian', ' North Indian']",1,1
Crust Pizza,Shenoy Nagar,['Pizza'],Invalid,250,0.0,0,3.8,154,"['Home Delivery', 'Standing Tables']",Budget,['Pizza'],0,1
The Ice Place,Tambaram,"['Ice Cream', ' Beverages']",Invalid,300,3.6,14,0.0,0,"['Vegetarian Only', 'Indoor Seating', 'Desserts and Bakes']",Budget,"['Ice Cream', ' Beverages']",1,0
99 Dosai on Wheels,Ashok Nagar,['South Indian'],Invalid,200,3.3,11,3.4,602,"['Home Delivery', 'Outdoor Seating']",Budget,['South Indian'],1,1
Sri Ganesh Chettinad Hotel,Royapettah,"['Chettinad', ' Biryani', ' Chinese']",Invalid,300,3.5,14,3.9,98,"['Home Delivery', 'Indoor Seating', 'Free Parking']",Budget,"['Chettinad', ' Biryani', ' Chinese']",1,1
New Aryabhavan,Gst Road,['South Indian'],Invalid,150,3.0,11,3.4,983,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating']",Budget,['South Indian'],1,1
Manpasand Chat,Ashok Nagar,['Street Food'],Invalid,200,0.0,0,3.5,311,"['Home Delivery', 'Vegetarian Only']",Budget,['Street Food'],0,1
Great Vaniyambadi Biriyanis,Palavakkam,"['Chinese', ' Biryani', ' North Indian']",Invalid,250,3.3,14,3.6,31,"['Home Delivery', 'Catering Available', 'Free Parking', 'Indoor Seating']",Budget,"['Chinese', ' Biryani', ' North Indian']",1,1
AL Farsi,Perambur,"['Chinese', ' North Indian', ' Seafood', ' Biryani']",Invalid,400,3.3,14,3.7,576,"['Home Delivery', 'Indoor Seating']",Affordable,"['Chinese', ' North Indian', ' Seafood', ' Biryani']",1,1
Wheat Hotel,Triplicane,"['North Indian', ' Chinese', ' Biryani', ' Chettinad']",Invalid,500,3.4,16,0.0,0,"['Home Delivery', 'Indoor Seating']",Affordable,"['North Indian', ' Chinese', ' Biryani', ' Chettinad']",1,0
Golden Site Restaurant,"Hotel Chennai Deluxe, Koyambedu","['North Indian', ' Mughlai', ' Continental', ' Chinese']",Invalid,900,3.1,10,0.0,0,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Valet Parking Available', 'Wifi', 'Table reservation required']",Mid Range,"['North Indian', ' Mughlai', ' Continental', ' Chinese']",1,0
iBriyani,Thiruvanmiyur,['Biryani'],Invalid,200,3.4,12,3.5,323,"['Home Delivery', 'Indoor Seating']",Budget,['Biryani'],1,1
Box It,Anna Nagar West,"['Chinese', ' Thai']",Invalid,500,0.0,0,3.9,357,['Home Delivery'],Affordable,"['Chinese', ' Thai']",0,1
Uppu Karam Multicuisine,Pallikaranai,['Biryani'],Invalid,400,3.0,13,3.3,723,"['Home Delivery', 'Indoor Seating']",Affordable,['Biryani'],1,1
Dhaba Chandni Chowk 2 Chennai,Choolaimedu,"['North Indian', ' Chinese']",Invalid,350,3.3,11,0.0,0,"['Breakfast', 'Home Delivery', 'Indoor Seating']",Affordable,"['North Indian', ' Chinese']",1,0
Gingerbread,Velachery,['Bakery'],Invalid,500,2.2,12,0.0,0,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Desserts and Bakes', 'Pre-Ordering Required']",Affordable,['Bakery'],1,0
Happy Door,Ambattur,['Desserts'],Invalid,300,3.2,10,3.8,69,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Desserts and Bakes', 'Free Parking']",Budget,['Desserts'],1,1
Srinivasan Andhra Mess,Mylapore,"['Andhra', ' Mughlai']",Invalid,450,3.7,5,3.8,356,"['Home Delivery', 'Free Parking', 'Indoor Seating']",Affordable,"['Andhra', ' Mughlai']",1,1
Curries Factory,Sholinganallur,"['Biryani', ' South Indian', ' Beverages']",Invalid,300,0.0,0,3.4,32,"['Breakfast', 'Home Delivery']",Budget,"['Biryani', ' South Indian', ' Beverages']",0,1
The Mamalla Bhavan,Mahabalipuram,['South Indian'],Invalid,400,3.5,9,0.0,0,"['Vegetarian Only', 'Indoor Seating']",Affordable,['South Indian'],1,0
Om Shiva Andhra Mess,Saidapet,"['South Indian', ' Chinese']",Invalid,450,3.0,9,0.0,0,['Indoor Seating'],Affordable,"['South Indian', ' Chinese']",1,0
600 Hours Breakfast,Perungudi,['Fast Food'],Invalid,350,3.4,11,0.0,0,"['Home Delivery', 'Indoor Seating']",Affordable,['Fast Food'],1,0
Srinivasa Andhra Mess,Mahabalipuram,['Andhra'],Invalid,300,3.3,15,0.0,0,['Takeaway Only'],Budget,['Andhra'],1,0
Molaga Chemistry Cuisines Restaurant,Madipakkam,"['Chinese', ' South Indian', ' North Indian']",Invalid,250,3.3,10,3.9,31,"['Breakfast', 'Home Delivery', 'Indoor Seating']",Budget,"['Chinese', ' South Indian', ' North Indian']",1,1
Madras Chutney,Semmancheri,['South Indian'],Invalid,150,3.5,16,0.0,0,"['Breakfast', 'Takeaway Only']",Budget,['South Indian'],1,0
Yummy Bowls @fs,Potheri,['Mexican'],Invalid,400,0.0,0,3.8,1055,['Home Delivery'],Affordable,['Mexican'],0,1
Dude Burger,Tambaram,"['Burger', ' Fast Food']",Invalid,500,3.4,11,0.0,0,['Indoor Seating'],Affordable,"['Burger', ' Fast Food']",1,0
Aranthangi Raja Sait Mess,Velachery,['South Indian'],Invalid,400,3.5,13,0.0,0,['Indoor Seating'],Affordable,['South Indian'],1,0
Hunky Monkey,Taramani,"['Fast Food', ' Beverages']",Invalid,200,3.4,12,0.0,0,"['Home Delivery', 'Indoor Seating']",Budget,"['Fast Food', ' Beverages']",1,0
Samy Chicken Chettinadu Unavakam,Thiruvanmiyur,"['South Indian', ' North Indian', ' Biryani', ' Chinese']",Invalid,400,3.5,13,3.8,567,"['Home Delivery', 'Indoor Seating']",Affordable,"['South Indian', ' North Indian', ' Biryani', ' Chinese']",1,1
Suvai Restaurant Veg,East Coast Road (Ecr),"['South Indian', ' North Indian']",Invalid,400,2.5,6,0.0,0,"['Breakfast', 'Indoor Seating', 'Table reservation required']",Affordable,"['South Indian', ' North Indian']",1,0
Shinchan Spot,Vadapalani,"['Fast Food', ' Beverages']",Invalid,300,3.4,10,0.0,0,"['Home Delivery', 'Indoor Seating']",Budget,"['Fast Food', ' Beverages']",1,0
The Spice,Old Mahabalipuram Road (Omr),"['North Indian', ' Seafood', ' Mughlai', ' Biryani']",Invalid,650,3.4,10,0.0,0,"['Home Delivery', 'Indoor Seating']",Mid Range,"['North Indian', ' Seafood', ' Mughlai', ' Biryani']",1,0
The Bovine,Anna Nagar West,"['Fast Food', ' Chinese', ' Beverages']",Invalid,300,0.0,0,0.0,0,['Indoor Seating'],Budget,"['Fast Food', ' Chinese', ' Beverages']",0,0
Hotel Gandhimathi Chettinad,Teynampet,['Chettinad'],Invalid,300,2.0,11,0.0,0,"['Breakfast', 'Home Delivery', 'Indoor Seating']",Budget,['Chettinad'],1,0
Hotel New Punjabi Dhaba,Potheri,['North Indian'],Invalid,300,2.8,13,0.0,0,"['Home Delivery', 'Indoor Seating']",Budget,['North Indian'],1,0
Chick N Chill,Porur,"['North Indian', ' Lebanese']",Invalid,300,0.0,0,0.0,0,['Indoor Seating'],Budget,"['North Indian', ' Lebanese']",0,0
Hotel Airport Corner,Pallavaram,"['South Indian', ' Chinese']",Invalid,200,3.4,11,3.5,136,"['Breakfast', 'Home Delivery', 'Free Parking', 'Indoor Seating']",Budget,"['South Indian', ' Chinese']",1,1
Black N Bowl Burmese Restaurant Atho,Avadi,['Burmese'],Invalid,250,3.1,8,3.9,60,"['Home Delivery', 'Indoor Seating']",Budget,['Burmese'],1,1
Thoondil,Washermenpet,"['Fast Food', ' Street Food']",Invalid,200,3.6,11,4.1,217,"['Home Delivery', 'Indoor Seating']",Budget,"['Fast Food', ' Street Food']",1,1
Adyar Vaishnavas Thattu Idly Kadai,Ramapuram,"['South Indian', ' Sandwich', ' Chinese', ' Street Food']",Invalid,200,3.9,7,3.7,71,"['Home Delivery', 'Indoor Seating']",Budget,"['South Indian', ' Sandwich', ' Chinese', ' Street Food']",1,1
Bread Boys,Porur,"['Sandwich', ' Fast Food']",Invalid,200,0.0,0,3.9,14,['Delivery Only'],Budget,"['Sandwich', ' Fast Food']",0,1
New Iyengar Bakery and Sweets,Medavakkam,"['Bakery', ' Desserts', ' Beverages']",Invalid,200,3.5,10,3.9,108,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']",Budget,"['Bakery', ' Desserts', ' Beverages']",1,1
Lip 2 Lip Juice Pub,Kilpauk,"['Beverages', ' Ice Cream', ' Street Food', ' Fast Food']",Invalid,300,3.4,5,0.0,0,"['Home Delivery', 'Vegetarian Only', 'Outdoor Seating', 'Desserts and Bakes']",Budget,"['Beverages', ' Ice Cream', ' Street Food', ' Fast Food']",1,0
Amma Idly Kadai,Thuraipakkam,['South Indian'],Invalid,150,3.6,14,3.5,858,"['Breakfast', 'Home Delivery', 'Indoor Seating']",Budget,['South Indian'],1,1
Tasty Vitamins,Porur,"['Fast Food', ' Beverages']",Invalid,200,3.7,9,3.7,93,"['Home Delivery', 'Indoor Seating']",Budget,"['Fast Food', ' Beverages']",1,1
Ann Kitchen,Kanchipuram District,['South Indian'],Invalid,200,0.0,0,3.9,19,"['Breakfast', 'Home Delivery']",Budget,['South Indian'],0,1
Royal Rolls,Karapakkam,"['Rolls', ' Beverages']",Invalid,250,3.8,9,3.9,149,"['Home Delivery', 'Indoor Seating']",Budget,"['Rolls', ' Beverages']",1,1
Eyarkai Home Made Foods,Saligramam,['South Indian'],Invalid,150,0.0,0,3.6,91,"['Breakfast', 'Home Delivery']",Budget,['South Indian'],0,1
Milky Way,Ramapuram,"['Chinese', ' Pizza', ' Sandwich']",Invalid,200,3.1,8,0.0,0,['Indoor Seating'],Budget,"['Chinese', ' Pizza', ' Sandwich']",1,0
MYS Cakes,Chengalpattu,['Bakery'],Invalid,250,3.0,15,4.2,934,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']",Budget,['Bakery'],1,1
Ambur Briyani,Padur,"['Arabian', ' North Indian', ' Seafood', ' Chinese']",Invalid,500,0.0,0,4.0,103,"['Home Delivery', 'Indoor Seating']",Affordable,"['Arabian', ' North Indian', ' Seafood', ' Chinese']",0,1
Ambur Ajib Briyani,Vadapalani,"['Biryani', ' Chinese']",Invalid,200,3.3,10,3.9,224,"['Home Delivery', 'Indoor Seating']",Budget,"['Biryani', ' Chinese']",1,1
Ubaid Briyani,Navallur,['Biryani'],Invalid,300,3.0,10,3.1,23,"['Home Delivery', 'Indoor Seating']",Budget,['Biryani'],1,1
Hunger Night Restaurants,Anna Nagar East,"['Chinese', ' Biryani', ' South Indian']",Invalid,400,0.0,0,0.0,0,['Delivery Only'],Affordable,"['Chinese', ' Biryani', ' South Indian']",0,0
Ambur Traditional Biryani,Choolaimedu,"['Biryani', ' Chinese', ' North Indian']",Invalid,400,3.2,10,3.7,140,"['Home Delivery', 'Indoor Seating']",Affordable,"['Biryani', ' Chinese', ' North Indian']",1,1
A2 Milk Factory,Thuraipakkam,"['Beverages', ' Ice Cream', ' Desserts', ' Fast Food']",Invalid,300,0.0,0,3.9,27,"['Delivery Only', 'Desserts and Bakes']",Budget,"['Beverages', ' Ice Cream', ' Desserts', ' Fast Food']",0,1
AR-Rahaman Biryani And Fast Food,Washermenpet,"['Biryani', ' Chinese']",Invalid,250,3.7,12,4.0,143,"['Home Delivery', 'Indoor Seating']",Budget,"['Biryani', ' Chinese']",1,1
Vivekananda Coffee,T. Nagar,['Coffee'],Invalid,100,3.6,9,0.0,0,"['Vegetarian Only', 'Indoor Seating']",Budget,['Coffee'],1,0
Juice Cafe,Teynampet,"['Beverages', ' Juices', ' Fast Food', ' Pizza']",Invalid,400,2.9,12,4.3,388,"['Home Delivery', 'Indoor Seating']",Affordable,"['Beverages', ' Juices', ' Fast Food', ' Pizza']",1,1
Everest Tasty Momos,Kanchipuram District,['Momos'],Invalid,300,0.0,0,4.0,375,"['Home Delivery', 'Standing Tables']",Budget,['Momos'],0,1
Tasty Eats,Maduravoyal,"['Fast Food', ' Desserts']",Invalid,200,3.3,9,0.0,0,"['Breakfast', 'Home Delivery', 'Indoor Seating']",Budget,"['Fast Food', ' Desserts']",1,0
Chaai Central,Mogappair,"['Tea', ' Fast Food', ' Street Food', ' Beverages']",Invalid,200,3.5,11,3.7,84,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Self Service', 'Wifi', 'All Day Breakfast']",Budget,"['Tea', ' Fast Food', ' Street Food', ' Beverages']",1,1
College Bakery,Pallavaram,['Bakery'],Invalid,150,3.3,13,0.0,0,"['Takeaway Only', 'Desserts and Bakes']",Budget,['Bakery'],1,0
Bunny Burgers,Nungambakkam,"['Burger', ' Beverages']",Invalid,350,0.0,0,4.0,171,['Delivery Only'],Affordable,"['Burger', ' Beverages']",0,1
The Waffle Wings,Virugambakkam,"['Fast Food', ' Desserts', ' Ice Cream', ' Beverages']",Invalid,300,3.3,10,0.0,0,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']",Budget,"['Fast Food', ' Desserts', ' Ice Cream', ' Beverages']",1,0
New Ranga Vilas,Parrys,"['South Indian', ' North Indian']",Invalid,300,3.4,11,0.0,0,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']",Budget,"['South Indian', ' North Indian']",1,0
Coffee Kadai,West Mambalam,"['Beverages', ' Fast Food']",Invalid,200,3.3,14,3.7,574,"['Breakfast', 'Home Delivery', 'Indoor Seating']",Budget,"['Beverages', ' Fast Food']",1,1
Gusto Express,Avadi,"['Lebanese', ' Chinese']",Invalid,300,3.3,9,3.8,44,"['Home Delivery', 'Indoor Seating']",Budget,"['Lebanese', ' Chinese']",1,1
Sri Kanaka Durga Andhra Meals Hotel,T. Nagar,['Andhra'],Invalid,250,3.5,14,0.0,0,['Indoor Seating'],Budget,['Andhra'],1,0
BBQ Box,Gopalapuram,"['BBQ', ' Fast Food', ' Rolls']",Invalid,400,0.0,0,3.5,65,['Home Delivery'],Affordable,"['BBQ', ' Fast Food', ' Rolls']",0,1
Kartika Veg And Non Veg Hotel,Thuraipakkam,"['South Indian', ' Chinese', ' North Indian']",Invalid,300,3.7,14,3.0,67,"['Home Delivery', 'Indoor Seating']",Budget,"['South Indian', ' Chinese', ' North Indian']",1,1
The Dosa Wok,Potheri,"['South Indian', ' Chinese', ' North Indian']",Invalid,200,0.0,0,3.4,21,"['Breakfast', 'Home Delivery']",Budget,"['South Indian', ' Chinese', ' North Indian']",0,1
The Slice - Radisson Blu GRT Hotel,"Radisson Blu, Gst Road","['Desserts', ' Bakery']",Invalid,300,3.5,8,0.0,0,"['Vegetarian Only', 'Indoor Seating', 'Wifi', 'Desserts and Bakes']",Budget,"['Desserts', ' Bakery']",1,0
Madras Kebab,Royapuram,"['Chinese', ' North Indian', ' Seafood', ' Biryani']",Invalid,600,3.1,10,3.8,560,"['Home Delivery', 'Indoor Seating']",Affordable,"['Chinese', ' North Indian', ' Seafood', ' Biryani']",1,1
The Pulao Bowl & Fruit Story,Saligramam,"['North Indian', ' Rolls', ' Kebab', ' Beverages']",Invalid,350,3.7,6,0.0,0,"['Home Delivery', 'Indoor Seating']",Affordable,"['North Indian', ' Rolls', ' Kebab', ' Beverages']",1,0
New Al Madina Multi Cuisine Restaurant,Tambaram,"['South Indian', ' Chettinad', ' Chinese', ' North Indian']",Invalid,400,3.1,12,3.9,305,"['Home Delivery', 'Outdoor Seating', 'Indoor Seating']",Affordable,"['South Indian', ' Chettinad', ' Chinese', ' North Indian']",1,1
Madurai Jigarthanda,Porur,"['Ice Cream', ' Desserts']",Invalid,200,3.4,16,0.0,0,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']",Budget,"['Ice Cream', ' Desserts']",1,0
Dakshin-Regency by GRT Hotels,"Grt Regency, Kanchipuram","['North Indian', ' Continental', ' Chinese']",Invalid,1200,2.9,15,0.0,0,"['Breakfast', 'Wheelchair Accessible', 'Free Parking', 'Indoor Seating', 'Disabled Friendly', 'Smoking Area', 'Wifi', 'Valet Parking Available', 'Table booking for Groups', 'Kid Friendly', 'Buffet']",Premium,"['North Indian', ' Continental', ' Chinese']",1,0
Kunti Kolkata Rolls,Vandalur,"['Rolls', ' Chinese']",Invalid,200,0.0,0,4.2,811,['Home Delivery'],Budget,"['Rolls', ' Chinese']",0,1
Degree Coffee,Velachery,"['Beverages', ' Fast Food']",Invalid,250,0.0,0,3.9,43,"['Home Delivery', 'Desserts and Bakes']",Budget,"['Beverages', ' Fast Food']",0,1
Aura -Klase Hotels,Guindy,"['South Indian', ' North Indian', ' Chinese', ' European']",Invalid,700,3.4,13,0.0,0,"['Breakfast', 'Indoor Seating']",Mid Range,"['South Indian', ' North Indian', ' Chinese', ' European']",1,0
Sri Sai Icecream Centre,Washermenpet,"['Ice Cream', ' Fast Food']",Invalid,200,3.3,10,3.3,23,"['Home Delivery', 'Desserts and Bakes', 'Indoor Seating']",Budget,"['Ice Cream', ' Fast Food']",1,1
Bismillah Biriyani,George Town,['Biryani'],Invalid,200,3.3,18,0.0,0,"['Home Delivery', 'Indoor Seating']",Budget,['Biryani'],1,0
Avadi Charminar Biryani,Avadi,"['Chinese', ' North Indian']",Invalid,300,3.7,5,3.8,126,"['Home Delivery', 'Indoor Seating']",Budget,"['Chinese', ' North Indian']",1,1
Marine Drive-In Restaurant,Kanathur,"['South Indian', ' Chinese', ' North Indian']",Invalid,700,3.7,7,0.0,0,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Drive in', 'Table Reservation Not Required']",Mid Range,"['South Indian', ' Chinese', ' North Indian']",1,0
New Madurai Muniyandi Vilas,Gopalapuram,"['South Indian', ' Biryani']",Invalid,200,2.8,13,0.0,0,"['Breakfast', 'Indoor Seating']",Budget,"['South Indian', ' Biryani']",1,0
Veg Expresso,Selaiyur,"['Street Food', ' Fast Food']",Invalid,250,2.3,9,3.5,82,"['Home Delivery', 'Outdoor Seating']",Budget,"['Street Food', ' Fast Food']",1,1
Madras Espresso,Kottivakkam,"['Fast Food', ' Beverages', ' Juices']",Invalid,200,3.6,10,4.0,123,"['Breakfast', 'Home Delivery', 'Indoor Seating']",Budget,"['Fast Food', ' Beverages', ' Juices']",1,1
Chennai Mass - Burma Food,Potheri,"['Burmese', ' Chinese', ' Biryani']",Invalid,150,0.0,0,4.1,100,['Home Delivery'],Budget,"['Burmese', ' Chinese', ' Biryani']",0,1
Madras Mess,Vadapalani,"['South Indian', ' Biryani']",Invalid,400,0.0,0,3.4,113,"['Breakfast', 'Home Delivery']",Affordable,"['South Indian', ' Biryani']",0,1
Five Star,Tambaram,"['South Indian', ' Biryani']",Invalid,200,3.8,5,0.0,0,"['Breakfast', 'Indoor Seating']",Budget,"['South Indian', ' Biryani']",1,0
Thennatu Karee Kuzhambu Kadai,Pallavaram,"['South Indian', ' Chettinad']",Invalid,350,0.0,0,0.0,0,"['Home Delivery', 'Standing Tables']",Affordable,"['South Indian', ' Chettinad']",0,0
Shree Voveshwar Bhojanalaya,Park Town,['North Indian'],Invalid,250,2.0,4,0.0,0,"['Vegetarian Only', 'Indoor Seating']",Budget,['North Indian'],1,0
Opium,"The Hotel Royal Plaza, Koyambedu","['Finger Food', ' North Indian', ' Chinese']",Invalid,1200,3.0,14,0.0,0,"['Full Bar Available', 'Nightlife', 'Indoor Seating']",Premium,"['Finger Food', ' North Indian', ' Chinese']",1,0
Chaat Palette,Thuraipakkam,"['Fast Food', ' South Indian', ' Beverages']",Invalid,200,3.1,9,3.6,60,"['Home Delivery', 'Vegetarian Only', 'Outdoor Seating', 'Free Wifi', 'Indoor Seating']",Budget,"['Fast Food', ' South Indian', ' Beverages']",1,1
S2L Da Dhaba,"Omr Food Street, Navallur",['North Indian'],Invalid,550,3.5,11,0.0,0,"['Home Delivery', 'Free Parking', 'Indoor Seating']",Affordable,['North Indian'],1,0
New Peppers,Avadi,"['North Indian', ' Chinese', ' Mughlai']",Invalid,400,3.1,10,3.1,166,"['Home Delivery', 'Free Parking', 'Indoor Seating']",Affordable,"['North Indian', ' Chinese', ' Mughlai']",1,1
Bread's 'N' Bake's,Ramapuram,"['Bakery', ' Fast Food']",Invalid,200,2.8,7,0.0,0,"['Home Delivery', 'Indoor Seating', 'Pre-Ordering Required', 'Desserts and Bakes']",Budget,"['Bakery', ' Fast Food']",1,0
Slurrrp,Chetpet,['Beverages'],Invalid,400,3.5,12,0.0,0,"['Home Delivery', 'Indoor Seating']",Affordable,['Beverages'],1,0
Samo,Perungudi,['Momos'],Invalid,200,3.5,13,0.0,0,"['Breakfast', 'Home Delivery', 'Indoor Seating']",Budget,['Momos'],1,0
La Pizzeria de Mama,Mahabalipuram,"['Italian', ' Pizza', ' Tibetan']",Invalid,700,2.8,12,0.0,0,['Indoor Seating'],Mid Range,"['Italian', ' Pizza', ' Tibetan']",1,0
Strings,Old Mahabalipuram Road (Omr),['South Indian'],Invalid,200,3.7,12,3.9,276,"['Home Delivery', 'Indoor Seating']",Budget,['South Indian'],1,1
Namma Pasanga Kadai,Ambattur,"['Biryani', ' Rolls']",Invalid,250,3.5,12,3.7,20,"['Home Delivery', 'Indoor Seating']",Budget,"['Biryani', ' Rolls']",1,1
The Smoke Factory,Anna Nagar West,"['Chinese', ' South Indian', ' Tamil', ' Biryani']",Invalid,500,0.0,0,3.0,35,['Delivery Only'],Affordable,"['Chinese', ' South Indian', ' Tamil', ' Biryani']",0,1
Aaha Cafe,Vadapalani,"['Fast Food', ' Sandwich', ' Beverages']",Invalid,200,3.3,9,0.0,0,"['Home Delivery', 'Indoor Seating']",Budget,"['Fast Food', ' Sandwich', ' Beverages']",1,0
RR Chettinad Family Restaurant,Sholinganallur,"['South Indian', ' Biryani', ' Chinese']",Invalid,300,3.0,17,0.0,0,"['Home Delivery', 'Indoor Seating']",Budget,"['South Indian', ' Biryani', ' Chinese']",1,0
Innum Peru Vaikala,Thuraipakkam,"['Fast Food', ' Desserts']",Invalid,150,3.6,7,0.0,0,"['Takeaway Only', 'Self Service', 'Desserts and Bakes']",Budget,"['Fast Food', ' Desserts']",1,0
Karishma Restaurant,Gst Road,"['Chettinad', ' Chinese', ' North Indian']",Invalid,400,0.0,0,0.0,0,"['Breakfast', 'Free Parking', 'Indoor Seating']",Affordable,"['Chettinad', ' Chinese', ' North Indian']",0,0
Blessed Foods Restaurant,Madipakkam,['South Indian'],Invalid,150,2.9,14,0.0,0,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']",Budget,['South Indian'],1,0
Basant's Dhaba,Selaiyur,"['North Indian', ' South Indian']",Invalid,500,2.9,16,0.0,0,['Indoor Seating'],Affordable,"['North Indian', ' South Indian']",1,0
AL Kabeer Kitchen,Vadapalani,"['Chettinad', ' North Indian', ' Arabian']",Invalid,600,3.8,10,0.0,0,['Indoor Seating'],Affordable,"['Chettinad', ' North Indian', ' Arabian']",1,0
OMR Food Street,Semmancheri,"['North Indian', ' South Indian']",Invalid,250,0.0,0,2.4,31,"['Home Delivery', 'Indoor Seating']",Budget,"['North Indian', ' South Indian']",0,1
Mumbai  Kulfi,Pallavaram,['Desserts'],Invalid,150,3.7,11,4.7,141,"['Home Delivery', 'Free Parking', 'Outdoor Seating', 'Indoor Seating']",Budget,['Desserts'],1,1
Thattu Vadai Settu Kadai,Teynampet,['Street Food'],Invalid,100,0.0,0,3.7,57,['Home Delivery'],Budget,['Street Food'],0,1
CKs Bakery,Porur,"['Bakery', ' Fast Food']",Invalid,300,3.1,6,3.9,65,"['Home Delivery', 'Desserts and Bakes', 'Indoor Seating']",Budget,"['Bakery', ' Fast Food']",1,1
Namma Gun BBQ,Kolathur,['BBQ'],Invalid,150,0.0,0,0.0,0,"['Home Delivery', 'Outdoor Seating']",Budget,['BBQ'],0,0
Fruit Bowl,Anna Nagar West,"['Healthy Food', ' Juices']",Invalid,200,0.0,0,4.1,381,"['Breakfast', 'Delivery Only']",Budget,"['Healthy Food', ' Juices']",0,1
Daily Touch,Pallavaram,"['Beverages', ' Juices', ' Fast Food']",Invalid,150,3.4,8,4.2,88,"['Home Delivery', 'Indoor Seating']",Budget,"['Beverages', ' Juices', ' Fast Food']",1,1
